SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21989,165,Hakeem Olajuwon,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,45,12,26,0.462,0,0,null,4,4,1.0,3,9,12,3,5,6,3,5,28,null,0
21989,287,Eric Leckner,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,10,2,4,0.5,0,0,null,2,2,1.0,1,2,3,0,0,0,1,4,6,null,0
21989,76726,Sleepy Floyd,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,43,5,15,0.333,1,4,0.25,3,4,0.75,2,4,6,4,0,0,4,1,14,null,0
21989,77516,Tim McCormick,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,5,0,2,0.0,0,0,null,0,2,0.0,0,2,2,1,1,0,0,1,0,null,0
21989,77145,Eric Johnson,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,4,2,4,0.5,0,2,0.0,0,0,null,0,1,1,4,0,0,0,1,4,null,0
21989,901,Otis Thorpe,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,42,7,14,0.5,0,0,null,5,6,0.833,10,5,15,3,3,1,6,1,19,null,0
21989,304,John Stockton,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,30,3,13,0.231,0,2,0.0,4,4,1.0,0,2,2,11,0,0,7,3,10,null,0
21989,1479,Mike Brown,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,17,3,5,0.6,0,0,null,2,3,0.667,1,4,5,0,1,0,1,4,8,null,0
21989,76890,Darrell Griffith,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,21,3,4,0.75,1,2,0.5,0,0,null,0,0,0,0,0,1,1,3,7,null,0
21989,78035,Delaney Rudd,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,18,5,9,0.556,4,4,1.0,1,2,0.5,0,0,0,3,0,0,1,4,15,null,0
21989,78523,Mitchell Wiggins,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,14,2,7,0.286,0,0,null,1,2,0.5,1,0,1,1,1,0,1,2,5,null,0
21989,77130,Buck Johnson,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,16,1,3,0.333,0,0,null,1,2,0.5,1,1,2,1,0,1,0,6,3,null,0
21989,76282,Raymond Brown,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,5,0,1,0.0,0,0,null,0,0,null,0,0,0,0,0,0,0,1,0,null,0
21989,252,Karl Malone,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,35,8,16,0.5,0,1,0.0,4,6,0.667,1,10,11,3,0,1,4,2,20,null,0
21989,78195,Larry Smith,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,34,2,6,0.333,0,1,0.0,0,4,0.0,4,14,18,2,1,0,1,4,4,null,0
21989,137,Vernon Maxwell,1610612745,HOU,Houston Rockets,0028901107,1990-04-22,HOU vs. UTH,W,41,10,21,0.476,1,3,0.333,6,10,0.6,0,1,1,5,2,0,1,2,27,null,0
21989,898,Blue Edwards,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,16,0,6,0.0,0,0,null,0,0,null,1,1,2,2,2,1,4,3,0,null,0
21989,76631,Mark Eaton,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,29,0,0,null,0,0,null,2,4,0.5,0,3,3,2,0,5,0,1,2,null,0
21989,76942,Bob Hansen,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,23,1,2,0.5,0,0,null,0,0,null,1,3,4,1,0,0,1,2,2,null,0
21989,1847,Thurl Bailey,1610612762,UTH,Utah Jazz,0028901107,1990-04-22,UTH @ HOU,L,32,6,11,0.545,0,0,null,2,2,1.0,0,9,9,0,2,3,2,1,14,null,0
21989,896,Tim Hardaway,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,43,10,18,0.556,1,1,1.0,7,8,0.875,2,6,8,6,3,0,5,4,28,null,0
21989,203,Nate McMillan,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,22,2,4,0.5,0,0,null,0,0,null,3,1,4,5,1,0,2,4,4,null,0
21989,178,Olden Polynice,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,9,1,2,0.5,0,0,null,0,0,null,1,4,5,0,1,0,0,1,2,null,0
21989,431,Shawn Kemp,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,1,0,0,null,0,0,null,0,0,null,0,0,0,0,1,0,1,0,0,null,0
21989,107,Dale Ellis,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,42,11,26,0.423,1,5,0.2,10,13,0.769,6,5,11,3,1,1,3,6,33,null,0
21989,904,Chris Mullin,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,45,8,19,0.421,1,5,0.2,7,8,0.875,3,7,10,8,2,0,4,3,24,null,0
21989,1365,Xavier McDaniel,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,42,9,20,0.45,0,0,null,3,6,0.5,5,9,14,6,0,0,2,4,21,null,0
21989,1846,Chris Welp,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,7,0,2,0.0,0,0,null,2,2,1.0,2,1,3,0,0,1,1,3,2,null,0
21989,78394,Kelvin Upshaw,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,25,6,8,0.75,0,0,null,5,6,0.833,0,3,3,5,6,0,3,5,17,null,0
21989,77019,Rod Higgins,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,41,9,13,0.692,1,1,1.0,6,7,0.857,2,2,4,3,0,2,0,2,25,null,0
21989,9,Sedale Threatt,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,28,8,13,0.615,0,2,0.0,3,4,0.75,0,3,3,6,1,0,2,4,19,null,0
21989,262,Michael Cage,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,22,3,5,0.6,0,0,null,1,2,0.5,4,5,9,3,1,1,2,3,7,null,0
21989,76497,Quintin Dailey,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,30,5,10,0.5,1,1,1.0,4,4,1.0,1,1,2,2,0,0,3,3,15,null,0
21989,1091,Mike Smrek,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,6,0,0,null,0,0,null,0,0,null,0,0,0,0,0,2,2,1,0,null,0
21989,344,Dana Barros,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,20,2,8,0.25,2,6,0.333,1,2,0.5,0,0,0,4,0,0,3,0,7,null,0
21989,36,Sarunas Marciulionis,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,32,6,8,0.75,0,0,null,5,6,0.833,0,2,2,3,0,0,1,1,17,null,0
21989,76195,Manute Bol,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,9,0,2,0.0,0,0,null,1,2,0.5,0,1,1,0,0,2,1,2,1,null,0
21989,78304,Terry Teagle,1610612744,GOS,Golden State Warriors,0028901102,1990-04-22,GOS vs. SEA,W,32,5,11,0.455,0,1,0.0,0,0,null,0,2,2,1,1,0,1,4,10,null,0
21989,365,Derrick McKey,1610612760,SEA,Seattle SuperSonics,0028901102,1990-04-22,SEA @ GOS,L,24,4,8,0.5,0,0,null,6,6,1.0,6,2,8,0,1,0,4,6,14,null,0
21989,78197,Michael Smith,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,20,3,8,0.375,0,0,null,0,0,null,2,4,6,4,1,0,1,1,6,null,0
21989,77384,Reggie Lewis,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,33,8,18,0.444,0,0,null,3,3,1.0,1,3,4,6,3,0,0,2,19,null,0
21989,1450,Kevin McHale,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,33,11,17,0.647,0,1,0.0,0,0,null,3,6,9,1,1,4,1,3,22,null,0
21989,1008,Johnny Dawkins,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,28,5,11,0.455,1,1,1.0,3,4,0.75,2,1,3,8,0,0,4,0,14,null,0
21989,76826,Mike Gminski,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,33,6,13,0.462,0,1,0.0,2,2,1.0,3,4,7,0,0,0,1,2,14,null,0
21989,78179,Charles Smith,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,20,2,4,0.5,0,0,null,2,2,1.0,3,4,7,4,2,0,3,4,6,null,0
21989,305,Robert Parish,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,26,6,13,0.462,0,0,null,6,8,0.75,4,9,13,2,0,0,1,1,18,null,0
21989,77719,Kurt Nimphius,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,25,2,6,0.333,0,0,null,1,2,0.5,1,5,6,0,0,3,1,3,5,null,0
21989,76046,Ron Anderson,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,36,3,9,0.333,0,0,null,2,3,0.667,4,2,6,4,2,0,1,3,8,null,0
21989,333,Kevin Gamble,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,16,4,7,0.571,0,0,null,0,1,0.0,0,1,1,2,1,0,2,5,8,null,0
21989,328,Rick Mahorn,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,32,5,10,0.5,0,0,null,3,4,0.75,3,6,9,2,1,1,2,2,13,null,0
21989,77819,Jim Paxson,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,27,6,11,0.545,0,0,null,3,3,1.0,2,1,3,5,0,0,1,2,15,null,0
21989,76082,John Bagley,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,28,4,8,0.5,0,0,null,0,0,null,1,1,2,5,4,0,1,1,8,null,0
21989,418,Scott Brooks,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,20,1,5,0.2,1,2,0.5,0,0,null,1,1,2,3,0,0,3,1,3,null,0
21989,170,Joe Kleine,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,17,3,4,0.75,0,0,null,2,2,1.0,2,1,3,0,0,0,0,4,8,null,0
21989,291,Ed Pinckney,1610612738,BOS,Boston Celtics,0028901097,1990-04-22,BOS @ PHL,W,20,3,8,0.375,0,0,null,2,2,1.0,2,2,4,0,1,2,1,0,8,null,0
21989,765,Hersey Hawkins,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,31,9,16,0.563,3,3,1.0,3,3,1.0,0,4,4,2,1,0,6,2,24,null,0
21989,76448,Lanard Copeland,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,17,3,10,0.3,0,0,null,1,2,0.5,1,0,1,1,0,0,0,1,7,null,0
21989,77822,Kenny Payne,1610612755,PHL,Philadelphia 76ers,0028901097,1990-04-22,PHL vs. BOS,L,18,3,6,0.5,0,1,0.0,4,4,1.0,0,1,1,1,3,2,0,4,10,null,0
21989,930,Kenny Gattison,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,15,3,7,0.429,0,0,null,1,4,0.25,0,0,0,1,0,0,1,4,7,null,0
21989,76045,Richard Anderson,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,13,1,5,0.2,0,2,0.0,0,0,null,0,5,5,0,0,0,0,0,2,null,0
21989,77047,Michael Holton,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,12,5,7,0.714,0,0,null,0,0,null,0,0,0,1,1,0,1,1,10,null,0
21989,77383,Ralph Lewis,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,9,2,4,0.5,0,0,null,0,0,null,3,0,3,0,1,0,1,1,4,null,0
21989,705,Randolph Keys,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,28,6,12,0.5,0,0,null,2,2,1.0,2,1,3,2,1,0,0,2,14,null,0
21989,462,J.R. Reid,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,34,4,8,0.5,0,0,null,0,1,0.0,3,8,11,1,2,1,2,3,8,null,0
21989,288,Armen Gilliam,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,34,10,15,0.667,0,0,null,2,4,0.5,2,3,5,0,0,0,0,2,22,null,0
21989,77936,Robert Reid,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,24,4,7,0.571,0,0,null,2,4,0.5,0,1,1,1,1,0,1,2,10,null,0
21989,78369,Kelly Tripucka,1610612766,CHH,Charlotte Hornets,0028901104,1990-04-22,CHH @ DAL,L,32,8,12,0.667,2,2,1.0,6,6,1.0,1,3,4,2,0,0,1,3,24,null,0
